category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,9/409,134/9500,0.06716417910447761,1.5600481699084043,1.3848268451216008,0.12362845946732191,0.5524106444598483,0.5010278602515673,CACNA1C/CACNA1S/PRKG1/PRKCB/ADCY7/PRKCA/ROCK2/RAMP1/PLA2G6,9
Organismal Systems,Digestive system,hsa04970,Salivary secretion,7/409,97/9500,0.07216494845360824,1.6762029591913896,1.4197912162711377,0.12415515141863309,0.5524106444598483,0.5010278602515673,ATP2B4/PRKG1/MUC5B/PRKCB/ADCY7/ATP1B2/PRKCA,7
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,13/409,212/9500,0.06132075471698113,1.4243207085851362,1.3252439299340508,0.12636895178908356,0.5524106444598483,0.5010278602515673,LPAR3/MAGI3/PARD3/PLCE1/IGF1R/PRKCB/ADCY7/GNAO1/SKAP1/PRKCA/MAGI1/MAGI2/VAV2,13
Organismal Systems,Immune system,hsa04670,Leukocyte transendothelial migration,8/409,116/9500,0.06896551724137931,1.6018885422814266,1.3833938481458332,0.12681124857097148,0.5524106444598483,0.5010278602515673,VCL/PRKCB/PLCG2/PRKCA/ACTN4/ROCK2/CLDN16/VAV2,8
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,7/409,98/9500,0.07142857142857142,1.659098847362906,1.391067600456201,0.1290866483701668,0.5547237051582844,0.5031257703190001,ITPK1/PLCE1/PIK3C2G/PRKCB/PLCG2/PRKCA/PIK3C3,7
Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,7/409,99/9500,0.0707070707070707,1.642340273147119,1.3626693636936091,0.13411515792786113,0.5620965087924571,0.5098127885108681,PRKCB/ADCY7/PLCG2/TRPV1/PRKCA/IL1R1/PLA2G6,7
Metabolism,Metabolism of cofactors and vitamins,hsa00730,Thiamine metabolism,2/409,15/9500,0.13333333333333333,3.0969845150774247,1.7239193895435287,0.13433753040322874,0.5620965087924571,0.5098127885108681,AK4/AK5,2
Genetic Information Processing,Information processing in viruses,hsa03250,Viral life cycle - HIV-1,5/409,64/9500,0.078125,1.8146393643031784,1.3869352355874587,0.14053031749894085,0.5803719605800415,0.5263883389570717,ELL/EP300/PPIA/MDFIC/NELFB,5
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,9/409,139/9500,0.06474820143884892,1.503931329264217,1.269440663012791,0.1449870053695374,0.5852492374215422,0.5308119531727991,GABBR1/ADCY7/GNAO1/BCL2/GREB1/KCNJ6/GRM1/OPRM1/CREB5,9
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,5/409,65/9500,0.07692307692307693,1.7867218356215913,1.3499003168988786,0.14723251255887854,0.5852492374215422,0.5308119531727991,PNLIPRP3/ALDH2/AGPAT3/MGLL/PLPP1,5
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,5/409,65/9500,0.07692307692307693,1.7867218356215913,1.3499003168988786,0.14723251255887854,0.5852492374215422,0.5308119531727991,CACNA1C/CACNA1S/SCARB1/ADCY7/CREB5,5
NA,NA,hsa04081,Hormone signaling,13/409,219/9500,0.0593607305936073,1.378794475890634,1.2028821407239296,0.15033392265937687,0.5901998445145907,0.5353020767858254,GNB1/LEPR/PRKG1/ADIPOR2/GNB5/IGF1R/ADCY7/GNAO1/GNG7/ACVR1/RAMP1/OPRM1/VIPR2,13
Genetic Information Processing,Translation,hsa00970,Aminoacyl-tRNA biosynthesis,5/409,66/9500,0.07575757575757576,1.7596502926576278,1.313507358922785,0.1540683940137149,0.5947925678883005,0.5394676054332815,NARS2/LARS1/FARS2/VARS1/RARS2,5
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",8/409,122/9500,0.06557377049180328,1.5231071385626678,1.2334178145239594,0.15524460105260673,0.5947925678883005,0.5394676054332815,CACNA1C/CACNA1S/PRKCB/ADCY7/PLCG2/PRKCA/EP300/CREB5,8
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,3/409,32/9500,0.09375,2.177567237163814,1.4152277884728526,0.157500340755074,0.5962512900013516,0.5407906436953669,ACACA/PCCA/HIBCH,3
NA,NA,hsa03273,Virion - Lassa virus and SFTS virus,2/409,17/9500,0.11764705882352941,2.7326333956565514,1.5165370864809056,0.16468640752559582,0.6100866752979441,0.5533391229117401,PCDH9/PCDH7,2
