ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:1903351,cellular response to dopamine,6/829,55/18805,0.10909090909090909,2.474613444456629,2.3518778108419633,0.03340121291587629,0.4110988448548118,0.38644710221684,GNB1/RGS8/GNB5/SIN3A/VPS35/GNAO1,6
BP,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,14/829,184/18805,0.07608695652173914,1.725953217601091,2.12506345513619,0.03344390192773777,0.4110988448548118,0.38644710221684,GNB1/ADGRL2/LPAR3/ATP2B4/PDE3A/ADGRD1/ADCY7/ADGRG3/PRKCA/ADGRE2/RAMP1/PDE4D/ARRDC3/VIPR2,14
BP,GO:0046928,regulation of neurotransmitter secretion,8/829,85/18805,0.09411764705882353,2.1349606187468955,2.2521286218136343,0.03363184524217038,0.4113253709267277,0.38666004454242436,SYT13/MCTP2/PRKCB/FBXL20/OTOF/PREPL/DYSF/MCTP1,8
BP,GO:0048013,ephrin receptor signaling pathway,8/829,85/18805,0.09411764705882353,2.1349606187468955,2.2521286218136343,0.03363184524217038,0.4113253709267277,0.38666004454242436,EPHB2/TIE1/ANKS1B/IGF1R/NCK2/MERTK/KALRN/ANKS1A,8
BP,GO:0051147,regulation of muscle cell differentiation,13/829,167/18805,0.07784431137724551,1.765816978828832,2.134712678735579,0.03371519433825637,0.4113253709267277,0.38666004454242436,YBX1/ZBED6/PROX1/ACTN3/TRIM72/LAMA1/BCL2/BMPR2/HDAC4/NLN/PI16/LAMA2/HDAC9,13
BP,GO:0050708,regulation of protein secretion,19/829,273/18805,0.0695970695970696,1.5787369044305113,2.068508031877752,0.03381556263933611,0.4115210615460355,0.38684400047834827,ZBED6/MCU/BRSK2/BMAL1/F2/ANO1/RAB11FIP3/PRKCB/VPS35/GNAO1/MYO18A/PRKCA/MYOM1/KCNB1/PLA2G6/PPARG/OPRM1/PPIA/RAB11FIP1,19
BP,GO:0043547,positive regulation of GTPase activity,10/829,117/18805,0.08547008547008547,1.9387997071953647,2.1874610084762645,0.03395994939347992,0.4122501319407513,0.387529351811431,RGS8/ARHGAP42/NTF3/DOCK9/GNB5/MAP4K4/ITGA6/RALGAPA2/SNX18/LARS1,10
BP,GO:0007029,endoplasmic reticulum organization,9/829,101/18805,0.0891089108910891,2.021342665026454,2.210145019843639,0.03417406755209776,0.41381997432813167,0.3890050578347709,TOR1AIP2/CACNA1S/RTN1/CCDC47/ATL2/RTN4/TMCC1/RETREG1/TRAM2,9
BP,GO:0010959,regulation of metal ion transport,26/829,403/18805,0.06451612903225806,1.4634810693023075,2.019797670484008,0.03428189143089335,0.4140980945117811,0.3892665004060271,YWHAE/CACNA1C/NOS1AP/ATP2B4/RYR2/F2/AHNAK/CRACR2A/SPG11/B2M/GNB5/PML/ATP1B2/AFG3L2/BCL2/ACTN4/UBR3/KCNAB1/DLG1/KCNIP4/STIM2/ANK2/PDE4D/KCNIP1/UTRN/DMD,26
BP,GO:1903829,positive regulation of protein localization,31/829,499/18805,0.06212424849699399,1.4092237551097369,1.9896204533505155,0.03499601890242929,0.42168042529346894,0.39639415302608666,YWHAE/SQSTM1/EPHB2/ATP2B4/MCU/SORBS1/F2/ANO1/CTDSPL2/PML/PRKCB/VPS35/MYO18A/NMT1/PRKCA/CEP131/MYOM1/MARK4/ROCK2/RTN4/KCNB1/PLA2G6/EP300/EDEM1/PPARG/PLS1/WWTR1/DLG1/PPIA/UBR5/ANP32B,31
