"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000112309.11",24.0206843519656,1.44268966615184,0.42311978181202,3.40964835057696,0.000650466903910101,0.0996495949621424,"Up"
"ENSG00000115339.14",6.22252505025755,-2.52373235804071,0.747491820067299,-3.37626752599579,0.000734764365043434,NA,"Down"
"ENSG00000243695.1",2.72876311239534,-4.91385876112565,1.45697357181633,-3.37264783396161,0.000744491080092559,NA,"Down"
"ENSG00000281091.3",7.72688582506296,-2.86798559966361,0.85280598998495,-3.36299889229697,0.000771006731575005,NA,"Down"
"ENSG00000110422.12",2147.35546879563,1.25070465703644,0.382677283427697,3.26830128465868,0.00108195124115532,0.143647681595113,"Up"
"ENSG00000276185.1",1.97332190279551,4.42267544995514,1.36398257350181,3.24247210769023,0.00118497546724955,NA,"Up"
"ENSG00000289094.1",2.0191661077611,-4.45203416561103,1.37575966586729,-3.23605515997188,0.00121193962086139,NA,"Down"
"ENSG00000261175.6",69.4918752398859,-1.68086053070766,0.527262975654651,-3.18789789596112,0.00143311131971686,0.178930590097173,"Down"
"ENSG00000162814.11",2.48917526215748,-4.31244120635609,1.3656602038808,-3.15777028143709,0.00158980783219885,NA,"Down"
"ENSG00000177076.6",198.843078591169,-1.15818051610223,0.368342441112123,-3.14430374247771,0.00166482539686057,0.194242241947346,"Down"
"ENSG00000137101.14",2.13800255247789,-4.53826722545863,1.46204485312926,-3.10405471880375,0.00190888023532465,NA,"Down"
"ENSG00000266916.9",18.2825629353659,-1.26829274091118,0.409107907713046,-3.10014232675449,0.0019342767200466,0.212219064009077,"Down"
"ENSG00000293196.1",1.81771288453184,4.32238060482699,1.41788143590499,3.04847816987473,0.00230003623171451,NA,"Up"
"ENSG00000237842.2",2.06715837052081,-4.47760988695378,1.47830733080105,-3.02887619756813,0.00245465250855163,NA,"Down"
"ENSG00000132321.17",40.3546081888329,1.58990924001105,0.531897621171454,2.98912643472521,0.00279776332753194,0.279794500047529,"Up"
"ENSG00000271871.1",4.66350345380657,-3.04296751541867,1.02307609084093,-2.97433156992016,0.00293627604117091,NA,"Down"
"ENSG00000036530.9",6.27848173957043,-2.28804244802231,0.770144650587043,-2.97092558687287,0.00296903711334477,NA,"Down"
"ENSG00000108309.14",17.7312576134967,2.26150086044884,0.761563495646283,2.96954997630194,0.00298236296640663,0.292556509844768,"Up"
