"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000120159.13",803.933264291358,-0.0351627977495836,0.235676682046705,-0.149199307475889,0.881396366431486,0.999991842068806,"Stable"
"ENSG00000141431.14",13.5100580494418,-0.332732292093364,2.23048446252275,-0.149174897957833,0.881415626874194,0.999991842068806,"Stable"
"ENSG00000275185.1",7.49064254414421,-0.295271264024188,1.98002109928862,-0.149125311912218,0.881454753187926,NA,"Stable"
"ENSG00000293190.1",0.127119340705422,-0.608472669335618,4.0804728567969,-0.149118175929556,0.881460383922821,NA,"Stable"
"ENSG00000253671.3",8.43840460573442,-0.308325755289108,2.06811081615409,-0.149085703184164,0.881486007017669,NA,"Stable"
"ENSG00000130529.16",972.520542939977,-0.0825239459018014,0.553593570067255,-0.149069552761922,0.881498750790822,0.999991842068806,"Stable"
"ENSG00000178301.4",12.6725360916282,0.0805482312033885,0.540399990083767,0.149052984236552,0.881511824507444,NA,"Stable"
"ENSG00000189050.16",316.37752101932,0.0552998122857814,0.371069287143676,0.149028265614367,0.881531329276206,0.999991842068806,"Stable"
"ENSG00000183784.7",7.41166853630197,-0.224434145636805,1.50634777718651,-0.148992250684628,0.881559747771792,NA,"Stable"
"ENSG00000167208.16",12.2400108807591,0.37136212168053,2.4925407846195,0.148989386240763,0.881562008040567,NA,"Stable"
"ENSG00000006468.15",37.7191077357522,0.175788393789984,1.18147564673608,0.148787149591795,0.88172159090743,0.999991842068806,"Stable"
"ENSG00000110025.13",571.965736829773,0.0354233831306043,0.238193187601059,0.148717028758747,0.881776923659531,0.999991842068806,"Stable"
"ENSG00000255154.9",272.832943792649,0.0236594541343066,0.159094308380429,0.148713391290728,0.881779794022181,0.999991842068806,"Stable"
"ENSG00000158528.12",483.787519988349,0.0633909536325474,0.426303852398297,0.148698993161622,0.881791155746115,0.999991842068806,"Stable"
"ENSG00000189159.16",2709.45744748545,-0.0815433656894003,0.548597408953765,-0.148639720783429,0.881837928495634,0.999991842068806,"Stable"
"ENSG00000175782.11",477.354652558733,0.0508155720572007,0.341919706009138,0.14861843632915,0.881854724487962,0.999991842068806,"Stable"
"ENSG00000184470.21",2089.64656021243,-0.05350412533613,0.360048621554949,-0.148602500143066,0.881867300088727,0.999991842068806,"Stable"
"ENSG00000147586.10",427.558061979008,-0.0597433333207967,0.402144368738881,-0.148561904542269,0.881899335119569,0.999991842068806,"Stable"
"ENSG00000163848.21",2016.54333291649,-0.0331571288831129,0.22319290869088,-0.148558164672854,0.881902286356262,0.999991842068806,"Stable"
"ENSG00000140511.12",1598.99439994527,-0.190514505606185,1.28276272383936,-0.148518897583777,0.881933273225434,0.999991842068806,"Stable"
"ENSG00000172469.17",879.804761124084,0.0485175185290557,0.326692307698664,0.148511358809855,0.881939222324762,0.999991842068806,"Stable"
"ENSG00000100162.15",141.788427141225,0.0511967375556275,0.344743744851655,0.148506646807059,0.881942940727576,0.999991842068806,"Stable"
"ENSG00000223459.6",263.766933104522,-0.0525571512243076,0.353964368316216,-0.148481474206905,0.881962805332715,0.999991842068806,"Stable"
"ENSG00000153044.10",122.247849594397,-0.0884415451275874,0.596096775520526,-0.148367763020288,0.882052539849376,0.999991842068806,"Stable"
"ENSG00000125744.12",374.069892556772,0.114449518983151,0.771529401970463,0.148341098460862,0.882073582249382,0.999991842068806,"Stable"
"ENSG00000270061.1",1.26483730810038,0.344353302537856,2.32356181345496,0.148200620505907,0.882184442133079,NA,"Stable"
"ENSG00000046653.15",12.433310257807,-0.069900225516074,0.471932445688758,-0.148114896855754,0.882252093126438,NA,"Stable"
"ENSG00000238228.1",7.18410769396572,-0.0921587393181418,0.622565474508776,-0.148030597730878,0.882318620757211,NA,"Stable"
"ENSG00000112619.8",20.0573159865186,0.254532588845268,1.71959041892815,0.14801931090307,0.882327528218912,0.999991842068806,"Stable"
"ENSG00000146374.14",13.2503005862847,0.50844493341229,3.43507935094862,0.148015484204718,0.882330548217774,0.999991842068806,"Stable"
"ENSG00000286340.3",11.3028570355501,-0.21151966418512,1.42991781461881,-0.147924350632353,0.882402470588809,NA,"Stable"
"ENSG00000184139.8",4.61150997153906,-0.415680652315297,2.81075845550417,-0.147889140563213,0.882430258540696,NA,"Stable"
"ENSG00000288045.1",7.58513218379397,0.132163696721616,0.893674915606116,0.147887889000419,0.882431246282594,NA,"Stable"
"ENSG00000290839.1",1.7227917300792,-0.558650886962632,3.77863052925494,-0.147844803199847,0.882465250001861,NA,"Stable"
"ENSG00000237278.2",29.9401171764241,0.0535431017888451,0.362203594258381,0.14782598140274,0.882480104409242,0.999991842068806,"Stable"
"ENSG00000259632.2",1.72629251501773,-0.55880551313401,3.78072701543666,-0.147803718928242,0.88249767429738,NA,"Stable"
"ENSG00000261359.2",3.48322784789539,-0.146238938917656,0.989934674169053,-0.147725847708495,0.882559131919425,NA,"Stable"
"ENSG00000013588.10",346.176638255034,-0.189373535102358,1.2824837691926,-0.147661545238564,0.882609881328617,0.999991842068806,"Stable"
"ENSG00000125844.17",7470.18503130079,0.0281205015297032,0.19051801800352,0.147600220831521,0.882658280811498,0.999991842068806,"Stable"
"ENSG00000126709.16",2009.91749413584,0.210537026794004,1.4265964933803,0.147579941329548,0.882674286238498,0.999991842068806,"Stable"
"ENSG00000291050.1",437.341086241039,-0.0702240385506476,0.476060986737283,-0.147510593195071,0.88272901903447,0.999991842068806,"Stable"
"ENSG00000125691.14",19223.2185901393,-0.0576712921015428,0.390964817094334,-0.147510183985756,0.882729342003291,0.999991842068806,"Stable"
"ENSG00000169862.21",0.361814122873723,-0.362984646886,2.46084017944467,-0.147504356405589,0.882733941428304,NA,"Stable"
"ENSG00000173262.12",2.04695595923287,-0.371247035181249,2.51728175740975,-0.147479333248439,0.882753691031648,NA,"Stable"
"ENSG00000278897.1",3.92739470214814,0.111363600182142,0.755329960290941,0.147437022277319,0.882787085260866,NA,"Stable"
"ENSG00000118976.5",1.91284655414611,0.172479214002884,1.1699917985935,0.147419164997762,0.882801179305888,NA,"Stable"
"ENSG00000272086.2",39.3125606546706,-0.0694194745604181,0.470915022239229,-0.147414015867076,0.882805243318134,0.999991842068806,"Stable"
"ENSG00000074582.15",520.548111021359,-0.0416191758426555,0.282385786659557,-0.147384102914611,0.882828852530382,0.999991842068806,"Stable"
"ENSG00000205763.16",1.55695879366899,-0.337961853324659,2.29309949381109,-0.147382115009311,0.882830421515876,NA,"Stable"
"ENSG00000168237.18",274.367819738178,0.0499994378721806,0.33964207028457,0.147212145510385,0.882964574312917,0.999991842068806,"Stable"
"ENSG00000101335.10",2292.22472232488,-0.141295336585083,0.960198643886346,-0.147152193439056,0.883011893827625,0.999991842068806,"Stable"
"ENSG00000010803.17",930.83632282092,0.0226590437981644,0.153992029778812,0.147144263444744,0.883018152916736,0.999991842068806,"Stable"
"ENSG00000157927.17",241.150815418207,-0.263631654879189,1.79174023452317,-0.147137207615003,0.883023722039999,0.999991842068806,"Stable"
"ENSG00000283422.1",12.9911029931088,-0.136118754210268,0.925189014732308,-0.147125346326828,0.883033084095243,0.999991842068806,"Stable"
"ENSG00000290927.1",89.8137181640122,-0.158366958437633,1.07660594321809,-0.147098350548073,0.883054391788873,0.999991842068806,"Stable"
"ENSG00000184068.2",13.7947590129083,0.0657062149466361,0.446791092997482,0.147062499625538,0.883082688953831,0.999991842068806,"Stable"
"ENSG00000225556.2",17.8223022415458,-0.197657334477343,1.34405631142294,-0.147060307516494,0.883084419192284,0.999991842068806,"Stable"
"ENSG00000106603.20",757.479092301405,-0.0213995259463495,0.145525578465335,-0.147049928761815,0.883092611183048,0.999991842068806,"Stable"
"ENSG00000186998.16",190.788174987757,0.265748179245706,1.80723801555385,0.14704658542957,0.883095250090639,0.999991842068806,"Stable"
"ENSG00000147799.12",305.929280587319,0.0747825662384392,0.508606309190197,0.147034287399046,0.883104956994126,0.999991842068806,"Stable"
"ENSG00000291092.1",64.1368425790433,0.0389877471313724,0.265178364398366,0.147024615751844,0.883112590891064,0.999991842068806,"Stable"
"ENSG00000106245.11",1515.90327455975,-0.0164099825936746,0.111690754686667,-0.146923374631235,0.883192501847782,0.999991842068806,"Stable"
"ENSG00000131002.15",9.17048854529391,0.550271238556067,3.74610458654931,0.14689158453607,0.88321759443599,NA,"Stable"
"ENSG00000156787.17",445.580451899152,0.0436663169069466,0.297698533762985,0.146679650567953,0.883384881350928,0.999991842068806,"Stable"
"ENSG00000140993.11",83.2787543363783,-0.0579615196140213,0.395200756418333,-0.146663483489559,0.883397642806567,0.999991842068806,"Stable"
"ENSG00000147255.19",30.2495407165521,-0.359023975641293,2.44843138080888,-0.146634281219955,0.883420693644748,0.999991842068806,"Stable"
"ENSG00000078269.15",3852.98213040179,-0.132854837387713,0.906256991216953,-0.14659731033833,0.883449876785506,0.999991842068806,"Stable"
"ENSG00000279232.2",525.079382896477,-0.062365776557002,0.425505837950121,-0.14656855674989,0.883472573676258,0.999991842068806,"Stable"
"ENSG00000234707.5",0.0838055517240962,-0.595999933418147,4.0698166313437,-0.146443927922465,0.883570951611793,NA,"Stable"
"ENSG00000003056.8",2729.46719121862,-0.0604834860701396,0.413175756576885,-0.146386822332555,0.883616029503709,0.999991842068806,"Stable"
"ENSG00000265681.8",20157.7219227985,0.040298347326087,0.275377299047164,0.146338668675754,0.883654041230125,0.999991842068806,"Stable"
"ENSG00000178882.15",25.8823734444902,-0.315142312948903,2.15415834976044,-0.146294868705427,0.88368861645871,0.999991842068806,"Stable"
"ENSG00000230461.10",174.060900934625,-0.409329867689074,2.79813203692496,-0.146286830745454,0.88369496156249,0.999991842068806,"Stable"
"ENSG00000120158.12",442.98012300874,-0.0711407168500936,0.486337266531223,-0.146278563757824,0.883701487466724,0.999991842068806,"Stable"
"ENSG00000153993.14",7090.36452310449,-0.275543485867635,1.88425724084915,-0.146234537351949,0.883736241747264,0.999991842068806,"Stable"
"ENSG00000125875.15",1757.80181132686,-0.0241875338293625,0.165414947527696,-0.146223386645955,0.883745044108489,0.999991842068806,"Stable"
"ENSG00000109705.8",2.7550860726002,0.40871447709224,2.79613815946115,0.146171059433989,0.883786351372736,NA,"Stable"
"ENSG00000185436.12",0.107107642484802,-0.596426315204117,4.0804728567969,-0.1461659803007,0.883790360873211,NA,"Stable"
"ENSG00000196743.9",1161.83669520701,-0.0297919373304817,0.203829531153442,-0.146161045270984,0.883794256620251,0.999991842068806,"Stable"
