"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000219470.1",2.37488532614651,3.6372187781455,1.38013541326637,2.63540718047173,0.00840364062190982,NA,"Up"
"ENSG00000220472.1",10.1383438102877,1.30991966003462,0.498602066268995,2.62718457995302,0.00860946188419488,0.502980416841727,"Up"
"ENSG00000024862.18",254.012267594882,-1.0968112262475,0.417815900731589,-2.62510647471051,0.00866218749755327,0.504227189622069,"Down"
"ENSG00000169413.3",2.19841837085934,-3.51751762139113,1.34583011972829,-2.61364162521589,0.00895829471446027,NA,"Down"
"ENSG00000188981.11",2.94957457586243,3.84045067877082,1.46949119317746,2.61345607010183,0.00896316056639281,NA,"Up"
"ENSG00000267095.1",4.23948696689719,3.54461581882567,1.35759046478093,2.61096104516148,0.00902881777431376,NA,"Up"
"ENSG00000166473.19",4.16459621724771,5.46310200294581,2.11036543023895,2.58869953263366,0.00963391150108494,NA,"Up"
"ENSG00000198270.13",42.0132333147181,-1.28414832612219,0.49628780691931,-2.58750730567711,0.00966731456267002,0.534717234873927,"Down"
"ENSG00000288043.1",2.33428002770347,3.56987245069026,1.3798348257279,2.58717375741481,0.00967667817108016,NA,"Up"
"ENSG00000290445.1",3.89394110521407,3.40990876828498,1.31891260862432,2.58539401775956,0.00972677709834851,NA,"Up"
"ENSG00000291097.1",15.7004103874325,1.79675443582072,0.695912025015,2.58187008017572,0.0098266570095882,0.534717234873927,"Up"
"ENSG00000165272.16",39.2990444754262,1.00753770195416,0.392292710408446,2.56833144032969,0.0102189397190194,0.548672175615605,"Up"
"ENSG00000234617.2",16.0025481218768,2.52062471915707,0.981766931576638,2.56743697316139,0.0102453412600947,0.548672175615605,"Up"
"ENSG00000115107.20",1507.46135366326,1.32896042252912,0.517864364616018,2.56623261481702,0.0102809856142321,0.548751876671935,"Up"
"ENSG00000282988.2",3.9171412522213,-3.53814235770009,1.38478813496066,-2.55500626296211,0.0106185887360154,NA,"Down"
"ENSG00000242628.6",7.40247068663697,4.84167339892624,1.90751834373049,2.53820542006295,0.0111422561824594,NA,"Up"
"ENSG00000168824.15",25.4682699635449,2.0523142354417,0.809131592726283,2.53644061595302,0.0111985733986129,0.572982625220152,"Up"
"ENSG00000114107.9",195.887374764347,-1.07008975071882,0.422211621474087,-2.53448672725485,0.0112612193067296,0.574357934545773,"Down"
"ENSG00000236778.9",19.4451735156828,-1.37787643394622,0.544232859306221,-2.53177736401789,0.0113486022618525,0.576983050439627,"Down"
"ENSG00000249773.3",22.9383788565703,-1.63133190367469,0.645635595248062,-2.52670688493857,0.0115137552345828,0.579877052026679,"Down"
"ENSG00000180211.5",3.79875999460696,2.69408765870605,1.07155774614654,2.51417869768972,0.011930996272931,NA,"Up"
"ENSG00000214595.13",22.5008446662866,1.69659284242374,0.676439754342014,2.50812113204974,0.0121375050882931,0.593022594661407,"Up"
"ENSG00000290085.1",10.8659044034904,-1.21188509544655,0.483220481934156,-2.50793403995586,0.0121439333775428,0.593022594661407,"Down"
"ENSG00000176510.5",2.22316603480627,3.53280789956485,1.40866485932676,2.50791228032285,0.0121446812116672,NA,"Up"
"ENSG00000276101.1",1.56859651115453,4.0847728166905,1.6301056944406,2.50583310678653,0.0122163266870772,NA,"Up"
"ENSG00000230882.1",1.5844293790834,4.10196757176312,1.63882067094505,2.50299965364585,0.0123145664593267,NA,"Up"
"ENSG00000238009.7",5.09613273666822,-2.0119656438672,0.805459597512834,-2.49791007529107,0.0124927879880329,NA,"Down"
"ENSG00000268655.3",3.4459800677484,2.56822508575438,1.02989405748007,2.49367890522476,0.0126426854276452,NA,"Up"
"ENSG00000235790.7",1.4046045063986,-4.04997121151435,1.62410501189289,-2.49366339113387,0.0126432379615123,NA,"Down"
"ENSG00000225806.8",6.32665866825981,3.06382030398278,1.23124715256485,2.48838772751712,0.0128323747060897,NA,"Up"
"ENSG00000259488.2",9.7628031377962,1.27113640630065,0.511027029472985,2.48741521091665,0.0128675122131386,NA,"Up"
"ENSG00000287884.1",1.1440329846878,3.6176936031788,1.45833013026835,2.48070963363632,0.0131121136664089,NA,"Up"
"ENSG00000288988.1",5.26915131742041,1.83155711065947,0.738543254727904,2.47995916140924,0.0131397431113846,NA,"Up"
"ENSG00000186976.15",8.44811967121473,2.10963075812385,0.851282601798644,2.47817910722772,0.0132054837000235,NA,"Up"
"ENSG00000164707.16",9.42686000079941,2.06622815497444,0.83377826547525,2.47815065531446,0.0132065368371681,NA,"Up"
"ENSG00000184060.11",4.65776750044865,-2.39228153244742,0.966172888498527,-2.47603877207228,0.0132849150390706,NA,"Down"
"ENSG00000231728.5",16.3910869488642,1.12621461131183,0.455012188929758,2.47513064201823,0.0133187446540737,0.634952378671656,"Up"
"ENSG00000254413.8",57.7537287760392,-1.03306045559231,0.419098402750663,-2.46495918097524,0.013702886104517,0.643856333115621,"Down"
"ENSG00000112309.11",21.5658854700593,1.22387038767176,0.496661142971518,2.46419597142099,0.013732100748642,0.643856333115621,"Up"
"ENSG00000101935.13",378.975426749643,-1.01454221708777,0.411740962768405,-2.46403032204116,0.0137384488466267,0.643856333115621,"Down"
"ENSG00000288751.1",1.36309944520396,-3.89890431796634,1.58588646974544,-2.45850153358845,0.0139518180660772,NA,"Down"
"ENSG00000255629.1",3.17828503075598,-2.4698207787333,1.00744814124302,-2.45156120461542,0.0142237994656642,NA,"Down"
"ENSG00000230715.3",5.88067171281943,-3.08317624148833,1.25767045683602,-2.45149770731263,0.0142263092773898,NA,"Down"
"ENSG00000204055.5",26.6810442163002,1.18690553405594,0.484187456273993,2.45133474375737,0.0142327524076414,0.655195989057783,"Up"
"ENSG00000278206.1",2.02986024498559,3.31406985552818,1.35691716641015,2.44235236871227,0.0145918963731597,NA,"Up"
"ENSG00000074276.11",7.06257281135443,3.40267457061301,1.39429542591532,2.44042582896608,0.0146699580968918,NA,"Up"
"ENSG00000266456.1",1.48483466899624,3.99124733221498,1.63565699841652,2.44014933209035,0.0146811916649834,NA,"Up"
"ENSG00000287811.3",9.53048440694818,1.22720918784994,0.504241018329468,2.43377500687198,0.0149422798482744,NA,"Up"
"ENSG00000159164.10",159.264794742674,1.98618437325627,0.817313042811224,2.43013908896474,0.0150930295248503,0.681136551534395,"Up"
"ENSG00000118946.12",91.9232047643347,1.26573721898171,0.52255526626634,2.42220737344283,0.0154265445130408,0.686160580204305,"Up"
"ENSG00000148344.11",10.8888580980644,4.7687000930019,1.97010679422917,2.4205287281737,0.0154979546589814,0.686160580204305,"Up"
"ENSG00000280330.1",38.0321518350475,-8.71319070974747,3.59989261620551,-2.42040295050013,0.0155033169808392,0.686160580204305,"Down"
"ENSG00000140678.17",12.3422113108059,3.19825885883288,1.32361600095959,2.4163041671559,0.0156789576994126,0.688865849455576,"Up"
"ENSG00000284686.1",3.32751209927861,2.69156371247677,1.1140920648164,2.41592575468198,0.0156952613284861,NA,"Up"
"ENSG00000279349.1",1.32711802361037,3.8223988401571,1.59255725967499,2.40016414916044,0.0163877212105491,NA,"Up"
"ENSG00000224431.1",1.91185698383016,3.29865803736835,1.37622711149015,2.39688493986768,0.0165351150795534,NA,"Up"
"ENSG00000225573.4",8.8155091264833,1.30394847227529,0.545732878249353,2.38935296780763,0.0168780781714465,NA,"Up"
"ENSG00000279177.1",44.8154284613313,4.88126470131411,2.0430254866176,2.38923338611671,0.0168835732201512,0.715703132862662,"Up"
"ENSG00000258303.1",1.89017227078698,-4.35568038451133,1.82789334304246,-2.38289635502554,0.0171770297071414,NA,"Down"
"ENSG00000274776.1",2.12924469059737,-3.43986755416848,1.4458941612688,-2.3790590254199,0.0173568964249204,NA,"Down"
"ENSG00000279144.1",1.48119202997403,-4.00713401508581,1.68979051802102,-2.37137915756487,0.0177218407498758,NA,"Down"
"ENSG00000237423.3",4.12251392042805,2.01064756239105,0.853435083934543,2.35594669148294,0.0184755688627262,NA,"Up"
