"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change","Sig"
"USP1",191.333333333333,1524,0.634609324294888,0.558650214858654,1,-7.70217631063484,"Stable","Stable"
"UBA7",-113.667,790.166833333333,-0.634225595032473,0.558877705637758,1,-7.70245101952511,"Stable","Stable"
"ABCD1",-35.0000000000002,491.166666666667,-0.634194788456503,0.55889597177985,1,-7.70247306777858,"Stable","Stable"
"CBR4",66.3353333333334,615.833666666667,0.634088300053704,0.55895911505137,1,-7.7025492746795,"Stable","Stable"
"ARID1A",-476.666,3885.66633333333,-0.633864192387365,0.559092017480187,1,-7.70270961963823,"Stable","Stable"
"TCTE1",0.563333333333333,0.948333333333333,0.633847118291959,0.559102143795077,1,-7.70272183392605,"Stable","Stable"
"ZNF30",30,158.333333333333,0.633633651875987,0.559228757040472,1,-7.70287451838717,"Stable","Stable"
"DPYSL2",484.333333333332,4651.833,0.633615569419596,0.559239483169552,1,-7.70288745013554,"Stable","Stable"
"FMC1-LUC7L2",-42.9906666666668,446.598,-0.63360804050601,0.559243949202141,1,-7.70289283438149,"Stable","Stable"
"LRBA",-104.225666666666,2235.88716666667,-0.633539228541518,0.559284768488041,1,-7.70294204229449,"Stable","Stable"
"HERPUD1",-350,2762.666,-0.633481878010103,0.5593187903838,1,-7.70298305068801,"Stable","Stable"
"NDUFAF4",90.3336666666667,445.166833333333,0.63337786081711,0.55938049977777,1,-7.70305742017677,"Stable","Stable"
"LMO4",-111.666333333333,596.833166666667,-0.633120483683348,0.559533211469873,1,-7.70324139456795,"Stable","Stable"
"KANSL1",-58.3086666666666,1148.33566666667,-0.633082059406778,0.559556012475469,1,-7.70326885512816,"Stable","Stable"
"PEX14",-35.0106666666666,635.231,-0.632735679589766,0.559761582917644,1,-7.70351633923551,"Stable","Stable"
"MIR1915HG",-180.666666666667,464.333333333333,-0.632708902310841,0.559777476891774,1,-7.70353546661531,"Stable","Stable"
"DECR2",48.7460000000001,458.010333333333,0.632476701856561,0.559915315013276,1,-7.70370130257938,"Stable","Stable"
"TMCO3",-247.666,3616.83366666667,-0.632355488751185,0.559987278257898,1,-7.70378785217784,"Stable","Stable"
"HS3ST3B1",3.21633333333333,7.27483333333333,0.632022103682579,0.560185238453264,1,-7.70402582793042,"Stable","Stable"
"GUSBP2",-1.66366666666667,3.21916666666667,-0.63199443539652,0.560201669681221,1,-7.7040455733511,"Stable","Stable"
"ARHGEF9",73.0003333333333,337.4995,0.631780653224303,0.560328638393144,1,-7.70419811452885,"Stable","Stable"
