"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SVBP",0.000564885182801326,0.306253561077196,0.216,0.115,1
"ZBED5-AS1",0.000572399406533902,0.78331703140442,0.105,0.042,1
"NFU1",0.000579176115552235,0.310828648931524,0.316,0.19,1
"ENG",0.000580853742459055,-0.577731725993156,0.854,0.791,1
"RBP1",0.000590050830790493,0.518225494950148,0.778,0.659,1
"CHCHD3",0.000591070194254628,0.408280459157063,0.193,0.099,1
"GCC2",0.000597538092014115,0.332906721566807,0.462,0.301,1
"WDR45",0.000598528705975191,0.326948312667017,0.234,0.127,1
"BDP1",0.000601465342321491,0.316555324967071,0.251,0.139,1
"ZDHHC20",0.000605424528997631,0.500474249643311,0.216,0.117,1
"NUDT2",0.000606773579605771,0.267539176366476,0.222,0.118,1
"SIGMAR1",0.000614152615492768,0.631533626543015,0.123,0.054,1
"CCSER2",0.000622490663170632,0.337716708420801,0.304,0.179,1
"ATP5SL",0.000628283241575339,0.428178635034963,0.158,0.075,1
"MARCH8",0.000629933639532025,0.545321869736554,0.135,0.061,1
"EIF4EBP3",0.000646843054754973,-2.50116948342451,0.035,0.121,1
"MORN2",0.000650430962025821,0.640036440783339,0.146,0.069,1
"ERH",0.000653357814293541,0.284065947103446,0.813,0.597,1
"TAF9B",0.000654358075963306,0.399454523798187,0.105,0.042,1
"MANBAL",0.000654580613087188,0.492267129056108,0.175,0.088,1
"RAPGEF1",0.000659060194340443,0.466839470316174,0.175,0.089,1
"HDAC5",0.000660474747231175,0.522663686072341,0.152,0.073,1
"SUGT1",0.000663235083808706,0.344677162352885,0.351,0.215,1
"MANF",0.000665910963196116,0.352263621345734,0.62,0.44,1
"PEX19",0.000667073387164596,0.480488122786051,0.152,0.072,1
"COMMD2",0.000668459331447142,0.286613822381629,0.216,0.115,1
"IMPA1",0.000671195836624165,0.319440241424891,0.123,0.053,1
"C6orf120",0.000677970243210968,0.556070121883045,0.135,0.061,1
"IP6K2",0.0006783605503563,0.366608043359795,0.287,0.168,1
"MLST8",0.000679480334996092,0.506022280773645,0.14,0.065,1
"GPATCH4",0.000680899502680388,0.302219959591108,0.14,0.064,1
"ELMO1",0.000683083764710288,0.622906891814784,0.24,0.136,1
"C12orf76",0.000683349964561956,0.51424082290549,0.17,0.084,1
"RRAS",0.000687322785131453,0.26650319363475,0.275,0.155,1
