category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,5/116,203/9500,0.024630541871921183,2.017156446407338,1.628689506382348,0.10257573118603625,0.3850793842885623,0.33100365369782186,LAMC1/ITGB1/ARHGAP35/ITGA9/PDGFRA,5
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,2/116,45/9500,0.044444444444444446,3.6398467432950192,1.973459162275304,0.10432386953232277,0.38532526004680506,0.33121500174099083,ABCA12/ABCB1,2
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,6/116,271/9500,0.02214022140221402,1.8132077872502863,1.5100203150665452,0.11396654285870819,0.41425933832768536,0.35608594009320693,SLC39A11/NDUFA10/ADCY5/COX7B2/SLC6A3/ITPR3,6
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,2/116,49/9500,0.04081632653061224,3.3427163969035885,1.8279016065911977,0.12017249181119771,0.42434567890885466,0.3647558812041179,ADCY5/SLC6A3,2
Organismal Systems,Immune system,hsa04666,Fc gamma R-mediated phagocytosis,3/116,99/9500,0.030303030303030304,2.4817136886102404,1.6476645693399914,0.12044746344574478,0.42434567890885466,0.3647558812041179,PRKCE/BIN1/LYN,3
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,3/116,101/9500,0.0297029702970297,2.4325708432912254,1.6091995736216858,0.1258279622422198,0.43658489929497474,0.3752763786171468,PLCB1/ADCY5/GNAQ,3
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,3/116,103/9500,0.02912621359223301,2.3853364579845997,1.5716404631578296,0.13129421210570674,0.44595608390252967,0.3833315913112988,LAMC1/PLCB1/GNAQ,3
Organismal Systems,Digestive system,hsa04973,Carbohydrate digestion and absorption,2/116,52/9500,0.038461538461538464,3.1498673740053054,1.72829286643425,0.1324236406348123,0.44595608390252967,0.3833315913112988,HK1/PLCB1,2
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,2/116,53/9500,0.03773584905660377,3.0904359141184123,1.6966871632127385,0.13656930781502769,0.44767274244653515,0.3848071838083295,PLCB1/GNAQ,2
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,3/116,105/9500,0.02857142857142857,2.3399014778325125,1.5349458618142544,0.13684319638103695,0.44767274244653515,0.3848071838083295,DPP4/COL23A1/COL19A1,3
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,3/116,107/9500,0.028037383177570093,2.2961650016113437,1.4990770563202533,0.14247189098792107,0.45952201459484404,0.3949924924350073,PLCB1/ITPR3/GNAQ,3
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,3/116,109/9500,0.027522935779816515,2.25403353369187,1.4639977779996174,0.14817726890617214,0.47128603582657524,0.4051045217171666,PTPRF/PRKCE/RPS6KA2,3
Organismal Systems,Endocrine system,hsa04914,Progesterone-mediated oocyte maturation,3/116,111/9500,0.02702702702702703,2.213420316868593,1.4296740060647573,0.1539563043973363,0.4770092725222133,0.41002405866078556,CCNA1/ADCY5/RPS6KA2,3
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,4/116,170/9500,0.023529411764705882,1.9269776876267748,1.3558974953857887,0.15414273435215625,0.4770092725222133,0.41002405866078556,ITGB1/CGNL1/ARHGEF18/PRKCE,4
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,5/116,238/9500,0.02100840336134454,1.7205157925239063,1.251565356681093,0.1658115301238308,0.5062778719780967,0.43518254221973846,KSR2/GNB5/KSR1/PDGFRA/RAPGEF5,5
Metabolism,Glycan biosynthesis and metabolism,hsa00604,Glycosphingolipid biosynthesis - ganglio series,1/116,15/9500,0.06666666666666667,5.459770114942529,1.9218229431730853,0.16841526188934186,0.5074617759560432,0.4362001935361071,ST6GALNAC3,1
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,2/116,62/9500,0.03225806451612903,2.6418242491657398,1.441970789755264,0.17502264059112382,0.5205218791606151,0.44742629925550453,FOXA2/ADCY5,2
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,2/116,63/9500,0.031746031746031744,2.5998905309250135,1.4165030178019615,0.17940018940946426,0.5267005560867604,0.45273732010215684,GLI2/SMO,2
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,3/116,125/9500,0.024,1.9655172413793103,1.208101269361982,0.1962197974696915,0.5679470902640241,0.4881917070989314,PRKCE/PLCB1/GNAQ,3
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,5/116,254/9500,0.01968503937007874,1.612136844963345,1.0994168110962026,0.19893217452431122,0.5679470902640241,0.4881917070989314,CACNA1C/PLCB1/PDGFRA/ITPR3/GNAQ,5
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,7/116,391/9500,0.017902813299232736,1.4661786753681982,1.04659672172773,0.2008895821457902,0.5679470902640241,0.4881917070989314,CACNA1C/SLC39A11/NDUFA10/PLCB1/COX7B2/ITPR3/GNAQ,7
Metabolism,Glycan biosynthesis and metabolism,hsa00531,Glycosaminoglycan degradation,1/116,19/9500,0.05263157894736842,4.310344827586207,1.6058201427496492,0.20836183610113446,0.5818885422824365,0.5001753960322484,IDS,1
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/116,130/9500,0.023076923076923078,1.8899204244031833,1.135865722635167,0.21195897058361704,0.5848024610078109,0.5026801204709751,GNB5/PLCB1/ADCY5,3
