gene_id	gene_name	A_1	A_2	A_3	A_4	A_5	A_6	B_1	B_2	B_3	B_4	B_5	B_6	C_1	C_2	C_3	C_4	C_5	C_6
ENSG00000183444.10	OR7E38P	0	14.9549413929972	12.7166006198694	42.5441681137437	13.0393557769469	0	34.2657896000518	64.5506111071115	57.4866563083323	41.3784870821269	46.6851163956834	18.3879387448258	13.8062931034773	17.5641592509469	4.9867794991515	14.7660241763461	16.0966690379402	14.1099323351287
ENSG00000183454.18	GRIN2A	0	0	0	0	0	0	0.500552971436305	0	5.52190637380821	0.505143373067539	1.18252277210035	0.215243236477906	0	0	0	0	0	0
ENSG00000183458.15	PKD1P3	160.372422816972	187.255846171573	197.049739717419	148.351862399353	152.073039040315	193.272608984369	496.775599945793	391.162940514979	341.171584500396	451.605832134454	391.877579620671	288.675080564742	207.280058291086	311.370666021532	266.797808715599	255.358521291078	313.288558411009	251.346226502773
ENSG00000183463.7	URAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183470.9	FLJ40288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183474.16	GTF2H2C	177.953929659976	268.461114671182	238.535229652428	203.703189605647	331.18222780648	267.377735357746	674.579430278745	909.341778383407	551.23457849326	595.750819576473	743.572661924727	579.11535831859	217.942729098311	359.846905905067	204.316962269935	317.061780246183	253.651547999703	208.521879766295
ENSG00000183475.13	ASB7	210.732952983419	267.35639697014	278.242830449204	218.244305764568	214.387062281717	276.675845109202	383.945244953777	339.648395685198	304.331739218319	352.632957862886	284.884982342612	262.123039682804	279.125735071668	381.743754355754	258.737426506387	282.151125856363	334.508326186832	273.558989429284
ENSG00000183476.13	SH2D7	0	0.811641176419093	0.793010189948513	0	0.812927681188552	0	0	0	0	0	0	0	0	0	0	0	0	0.773396419550523
ENSG00000183479.13	TREX2	20.0277976381224	32.2024614936578	11.6949782177035	21.3811697213729	18.782478114339	16.7208950602166	35.0169109815675	14.2237642198658	21.5368716619009	21.4657945097802	30.8120024711583	26.586636129764	18.6696481928015	10.2136313240332	15.6203108852408	19.6969365440779	12.5444454753963	11.0066833538828
ENSG00000183484.12	GPR132	1.82627647794358	1.75874935124795	3.09534265942291	0.58220861077701	0.585654734487011	2.66553260366825	0	5.66032974324407	2.46255582734501	0.623595665745839	2.68892487103597	1.82683173523407	9.81941509035071	25.9685467287396	7.59751090973257	5.93447697447715	25.0129282026615	13.8308440640934
ENSG00000183486.14	MX2	1.94512930975916	7.92064047642909	1.43095682914667	0	1.95077267580527	0	85.0266679248418	49.7342105104813	170.867169007947	24.9314409338311	66.5111018314932	34.399806388922	5.67940392993844	207.07862041273	10.717290130336	3.1402529562818	13.2148063589459	5.12928125567817
ENSG00000183495.15	EP400	443.943706134578	495.949092271502	476.612401205417	463.274031607231	422.76164757067	573.184622207699	647.6322492875	518.953394119252	658.288479817358	633.21684222993	497.66716194866	553.217992695524	587.003281314818	568.861883704984	589.216444030169	475.212767595685	462.637765787485	544.234811604146
ENSG00000183496.6	MEX3B	62.2311726174758	136.441675918033	68.5436163881663	65.0978116912444	141.980698098773	96.869912015588	259.565064788806	212.047751493903	283.336874253013	339.014804681557	221.318912203123	298.704460034672	449.45617879859	489.493788069425	369.826027830319	386.41948862976	437.143952871434	489.377176356664
ENSG00000183506.18	PI4KAP2	79.5059200695806	49.9665148215455	88.7743768342117	76.4494346614997	65.0933192065083	83.2972348871337	91.6240936171825	90.4685446190128	50.6130173165774	56.6293001910555	39.9756080456871	52.8535484796138	57.7540578602105	68.2770310252113	43.0693816441471	90.6292091520034	56.7467889586828	61.8290742393608
ENSG00000183508.5	TENT5C	12.451477348477	6.26137288836637	16.3772984394355	14.0961038615385	6.80034596803579	11.4413556173276	3.16841727292906	1.68897530053476	8.5978985847497	2.90652071879588	2.25444226754125	6.52197139027418	15.4449720776902	5.0618511211234	9.07626544115932	11.2887618570629	1.69274737099616	5.43554756652435
